sequence	cg	chg	gene	classification
cpc54_10258.1	0.8914641412541339	0.004831994783479989	cpc54_10258	gbM
cpc54_10259.1	0.5293067436067401	0.005204659222753968	cpc54_10259	gbM
cpc54_1026.1	0.6403427322663686	0.006599615420644834	cpc54_1026	gbM
cpc54_1026.2	0.6394791547447687	0.006590715062693863	cpc54_1026	gbM
cpc54_1026.3	0.6291199720258704	0.006531931147348572	cpc54_1026	gbM
cpc54_10260.1	0.8162051691648989	0.006331797111324916	cpc54_10260	gbM
cpc54_10261.1	0.7664335261205655	0.00392689588688946	cpc54_10261	gbM
cpc54_10262.1	0.18675626354373898	0.00615927282409171	cpc54_10262	ambiguous
cpc54_10263.1	0	0.008907657657657659	cpc54_10263	UM
cpc54_10264.1	0.3852604817007535	0.004282778729193757	cpc54_10264	gbM
cpc54_10265.1	0.12653	0.006197560976	cpc54_10265	ambiguous
cpc54_10266.1	0.29666491385805294	0.004016563643834134	cpc54_10266	gbM
cpc54_10267.1	0.6333883783226202	0.008751474838790792	cpc54_10267	gbM
cpc54_10268.1	0.3640490725441937	0.006803000124928627	cpc54_10268	gbM
cpc54_10269.1	0.23995465328467158	0	cpc54_10269	gbM
cpc54_1027.1	0.8389505595648761	0.0057366282671126026	cpc54_1027	gbM
cpc54_10270.1	0.7238984049457586	0.008822415845651134	cpc54_10270	gbM
cpc54_10270.2	0.7972407433415789	0.00971626587211842	cpc54_10270	gbM
cpc54_10271.1	0.1499375	0.2863	cpc54_10271	ambiguous
cpc54_10272.1	0.1290138889	0.1049304348	cpc54_10272	ambiguous
cpc54_10273.1	0.22614117649999999	0.3292291667	cpc54_10273	ambiguous
cpc54_10273.2	0.1681826087	0.2461121212	cpc54_10273	ambiguous
